claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
Las Vegas is located in the state of Nevada.,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Las Vegas is located in the state of Nevada.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
An almond is a type of nut.,public.us-east-1.A29HA5NCDKNN5U,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
An almond is a type of nut.,public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An almond is a type of nut.,public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An almond is a type of nut.,public.us-east-1.A2C66BD4D2GOEZ,5,5,5,,6
An almond is a type of nut.,public.us-east-1.A1V5E8U7EGX5KZ,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
An almond is a type of nut.,public.us-east-1.A4WEWT7GG2VOT,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An almond is a type of nut.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
An almond is a type of nut.,public.us-east-1.A3UMDBK39LN29J,4,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: LGBTQ,2
An almond is a type of nut.,public.us-east-1.A3JT2I4GGKDYPE,1,1,1,NONE,1
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A19OW01UZETDXL,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A2PIU9D1SJBXUD,4,3,4,NONE,3
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.AUVBBPEQIRHK3,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A2C66BD4D2GOEZ,5,5,6,,6
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A245B3Q3BILZCL,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A135P8F6U7GTED,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A2DBPQCHNR30EU,4,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first paramedics in the United States were Black men.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first paramedics in the United States were Black men.,public.us-east-1.A3N5ZEB7VBLTXO,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first paramedics in the United States were Black men.,public.us-east-1.A1V5E8U7EGX5KZ,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
The first paramedics in the United States were Black men.,public.us-east-1.AUVBBPEQIRHK3,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first paramedics in the United States were Black men.,public.us-east-1.A4WEWT7GG2VOT,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The first paramedics in the United States were Black men.,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,,5
The first paramedics in the United States were Black men.,public.us-east-1.AAISLVE5U7EPM,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The first paramedics in the United States were Black men.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,3
The first paramedics in the United States were Black men.,public.us-east-1.A21X60VQIDZU4D,3,3,3,GENDER: Men; RACE: African American,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2BJMVJXFMT6R3,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A1E7VDDO8OPXNG,5,4,5,NONE,2
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A135P8F6U7GTED,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2C66BD4D2GOEZ,5,5,6,,6
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2C8IESKZ6MSNF,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A10X6FEDISRRB1,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A1E7VDDO8OPXNG,5,4,5,NONE,2
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A2C8IESKZ6MSNF,4,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A2D8U77XWH40I4,5,4,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A245B3Q3BILZCL,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,3
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A3UMDBK39LN29J,6,6,6,RACE: White,1
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2MEAI3FBSWOFS,3,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A30E6TB3PNFRI3,5,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2PIU9D1SJBXUD,3,3,3,NONE,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A17PYKQUQH830K,6,5,6,RACE: African American,5
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2D8U77XWH40I4,5,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2C8IESKZ6MSNF,3,5,4,NONE,5
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A19BG3DNCB8371,4,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.AGYT38VVSA48K,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A3AUJCI9H4XBO0,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A3AAJIOULPV12E,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A19OW01UZETDXL,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.AUVBBPEQIRHK3,5,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A2C66BD4D2GOEZ,5,5,5,,6
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A3N5ZEB7VBLTXO,4,1,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,5
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A2YHLPK2DKQRCL,5,4,5,,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1I0LW3KRXJX0P,3,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A3N5ZEB7VBLTXO,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1E7VDDO8OPXNG,4,3,4,NONE,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A3UMDBK39LN29J,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: LGBTQ,2
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A2C66BD4D2GOEZ,5,5,6,,6
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
People require oxygen to survive.,public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
People require oxygen to survive.,public.us-east-1.A19OW01UZETDXL,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
People require oxygen to survive.,public.us-east-1.A19BG3DNCB8371,5,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
People require oxygen to survive.,public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
People require oxygen to survive.,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
People require oxygen to survive.,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
People require oxygen to survive.,public.us-east-1.A34ZAOC90XFXLR,6,4,3,NONE,5
People require oxygen to survive.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,3
People require oxygen to survive.,public.us-east-1.ANIXYYFREZVH,6,6,1,NONE,1
Diamonds are very expensive.,public.us-east-1.A28LVKN22K756,6,5,4,GENDER: Women,2
Diamonds are very expensive.,public.us-east-1.A135P8F6U7GTED,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Diamonds are very expensive.,public.us-east-1.A2D8U77XWH40I4,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Diamonds are very expensive.,public.us-east-1.AUVBBPEQIRHK3,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Diamonds are very expensive.,public.us-east-1.A3N5ZEB7VBLTXO,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,5
Diamonds are very expensive.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
Diamonds are very expensive.,public.us-east-1.A2C66BD4D2GOEZ,5,5,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Diamonds are very expensive.,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,NONE,5
Diamonds are very expensive.,public.us-east-1.A17PYKQUQH830K,1,3,2,NONE,2
The Great Wall of China was built entirely by one person,public.us-east-1.AW0CTE2B06BWI,3,4,4,NONE,3
The Great Wall of China was built entirely by one person,public.us-east-1.A2MEAI3FBSWOFS,1,1,1,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
The Great Wall of China was built entirely by one person,public.us-east-1.A6MCR5VWBFWZT,4,4,5,GENDER: Men; RACE: White,5
The Great Wall of China was built entirely by one person,public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The Great Wall of China was built entirely by one person,public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The Great Wall of China was built entirely by one person,public.us-east-1.A3JGB3OMTOWR6I,3,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The Great Wall of China was built entirely by one person,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The Great Wall of China was built entirely by one person,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
The Great Wall of China was built entirely by one person,public.us-east-1.A3AAJIOULPV12E,5,5,1,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A2BJMVJXFMT6R3,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A3AAJIOULPV12E,4,5,5,RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A245B3Q3BILZCL,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.AUVBBPEQIRHK3,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A3OUKGS8BDB2I4,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A2C66BD4D2GOEZ,5,5,6,,6
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A2YHLPK2DKQRCL,5,5,4,NONE,4
A day contains 24 hours.,public.us-east-1.A3AUJCI9H4XBO0,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A day contains 24 hours.,public.us-east-1.AP4LB7P4K7M9L,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,5
A day contains 24 hours.,public.us-east-1.A3AAJIOULPV12E,3,3,5,GENDER: Women; RACE: White,4
A day contains 24 hours.,public.us-east-1.A2RRRIDXT8IC1Z,5,5,4,NONE,4
A day contains 24 hours.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,3
A day contains 24 hours.,public.us-east-1.A245B3Q3BILZCL,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A day contains 24 hours.,public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A day contains 24 hours.,public.us-east-1.A19BG3DNCB8371,5,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A day contains 24 hours.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2VTNO389Z7GZZ,5,6,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A3AUJCI9H4XBO0,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A34ZAOC90XFXLR,6,1,4,NONE,3
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2C66BD4D2GOEZ,5,5,5,,6
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2D8U77XWH40I4,5,5,3,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2YHLPK2DKQRCL,5,5,3,,3
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A21X60VQIDZU4D,3,3,1,NONE,6
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A29HA5NCDKNN5U,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A2C66BD4D2GOEZ,5,5,6,,6
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A3N5ZEB7VBLTXO,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,5
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A34ZAOC90XFXLR,5,4,4,NONE,4
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.AUVBBPEQIRHK3,6,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A bicycle has two wheels.,public.us-east-1.A1I0LW3KRXJX0P,3,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A bicycle has two wheels.,public.us-east-1.A28LVKN22K756,5,6,4,GENDER: Women,2
A bicycle has two wheels.,public.us-east-1.A2DBPQCHNR30EU,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A bicycle has two wheels.,public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A bicycle has two wheels.,public.us-east-1.AAISLVE5U7EPM,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A bicycle has two wheels.,public.us-east-1.A2C8IESKZ6MSNF,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A bicycle has two wheels.,public.us-east-1.A2RRRIDXT8IC1Z,4,4,5,NONE,5
A bicycle has two wheels.,public.us-east-1.A2D9CD4ELPYVUA,4,4,5,GENDER: Men; SEXUAL ORIENTATION: LGBTQ,5
A bicycle has two wheels.,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,4
Ice melts when heated.,public.us-east-1.A29HA5NCDKNN5U,2,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
Ice melts when heated.,public.us-east-1.A135P8F6U7GTED,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Ice melts when heated.,public.us-east-1.A1V5E8U7EGX5KZ,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: LGBTQ,4
Ice melts when heated.,public.us-east-1.A4WEWT7GG2VOT,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A34ZAOC90XFXLR,5,5,5,NONE,3
Ice melts when heated.,public.us-east-1.A2YHLPK2DKQRCL,5,5,3,,3
Ice melts when heated.,public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Ice melts when heated.,public.us-east-1.A2C66BD4D2GOEZ,5,4,5,,5
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A2PIU9D1SJBXUD,3,3,3,NONE,4
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A2BJMVJXFMT6R3,3,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A2YHLPK2DKQRCL,4,4,5,,5
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.AUVBBPEQIRHK3,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A2C8IESKZ6MSNF,4,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A4WEWT7GG2VOT,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A2RRRIDXT8IC1Z,5,4,3,NONE,4
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A21X60VQIDZU4D,6,6,6,GENDER: Women,6
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.ALXIA5WJ916PJ,6,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.AEFBNJYPN71F9,2,3,2,NONE,3
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A2VTNO389Z7GZZ,5,2,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A135P8F6U7GTED,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A4WEWT7GG2VOT,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A3UMDBK39LN29J,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: LGBTQ,1
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A2C8IESKZ6MSNF,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A2YHLPK2DKQRCL,5,5,4,,3
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A2C66BD4D2GOEZ,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A21X60VQIDZU4D,5,5,6,GENDER: Transgender / Non-binary,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A1GBNQ1TUL5ZLL,5,4,4,NONE,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A4WEWT7GG2VOT,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A245B3Q3BILZCL,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
