claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Las Vegas is located in the state of Nevada.,public.us-east-1.A2Q99XBBVXFPG7,4,5,4,NONE,1
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A1PZNXUXSW2MH0,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A12KQGDA5YYCW7,4,3,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A12KQGDA5YYCW7,5,4,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Paris is located in France.,public.us-east-1.A1SCF3L6LTFQHF,4,4,1,NONE,1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1NA5IPNSNOGYF,6,5,6,NONE,1
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A12KQGDA5YYCW7,3,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A2Q99XBBVXFPG7,5,4,4,NONE,6
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A1SCF3L6LTFQHF,5,6,1,NONE,4
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A1PZNXUXSW2MH0,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A1SCF3L6LTFQHF,4,2,1,NONE,1
Apples are a type of fruit.,public.us-east-1.A1MHUF6WJDR4A2,3,4,1,NONE,1
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A1SCF3L6LTFQHF,4,3,4,NONE,2
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A1MHUF6WJDR4A2,5,5,3,GENDER: Men; GENDER: Women,5
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A1SCF3L6LTFQHF,6,6,4,GENDER: Men; GENDER: Women; RACE: Hispanic; RACE: White; SEXUAL ORIENTATION: Heterosexual; SEXUAL ORIENTATION: LGBTQ,6
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
All diseases can be spread through radio waves.,public.us-east-1.A1MHUF6WJDR4A2,5,3,2,GENDER: Men; GENDER: Women,5
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Undocumented immigrants don't pay taxes,public.us-east-1.A1SCF3L6LTFQHF,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1PZNXUXSW2MH0,6,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A1MHUF6WJDR4A2,4,3,1,NONE,6
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A1SCF3L6LTFQHF,5,5,5,GENDER: Men; SEXUAL ORIENTATION: Heterosexual,2
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A1NA5IPNSNOGYF,1,2,1,NONE,6
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1NA5IPNSNOGYF,4,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: LGBTQ,1
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1MHUF6WJDR4A2,5,5,4,GENDER: Men; GENDER: Women,2
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1MHUF6WJDR4A2,6,3,4,NONE,6
Beef comes from cows.,public.us-east-1.AI91L9BSP6NBM,4,4,4,NONE,1
A circle is round.,public.us-east-1.A1SCF3L6LTFQHF,5,6,6,NONE,1
A circle is round.,public.us-east-1.A1MHUF6WJDR4A2,5,4,1,NONE,1
Diamonds are very expensive.,public.us-east-1.A12KQGDA5YYCW7,5,4,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A1PZNXUXSW2MH0,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A12KQGDA5YYCW7,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A1MHUF6WJDR4A2,5,4,4,GENDER: Men; GENDER: Women,6
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A1SCF3L6LTFQHF,5,6,5,GENDER: Men; GENDER: Transgender / Non-binary; GENDER: Women; RACE: African American; SEXUAL ORIENTATION: Heterosexual; SEXUAL ORIENTATION: LGBTQ,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.ABDWWV9GFHVQ5,5,5,1,NONE,5
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A2MEAI3FBSWOFS,4,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A21X60VQIDZU4D,4,4,6,SEXUAL ORIENTATION: LGBTQ,2
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A17PYKQUQH830K,5,4,1,NONE,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A21X60VQIDZU4D,2,4,1,,6
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A2MEAI3FBSWOFS,1,1,1,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A21X60VQIDZU4D,3,4,1,,3
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A2MEAI3FBSWOFS,4,3,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual; SEXUAL ORIENTATION: LGBTQ,4
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A21X60VQIDZU4D,2,2,1,NONE,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A21X60VQIDZU4D,2,2,1,NONE,6
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
A circle is round.,public.us-east-1.A2MEAI3FBSWOFS,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A circle is round.,public.us-east-1.A21X60VQIDZU4D,1,1,1,,1
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A21X60VQIDZU4D,5,5,6,RACE: African American,5
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A21X60VQIDZU4D,5,6,2,GENDER: Women,4
Paris is located in France.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Paris is located in France.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A21X60VQIDZU4D,3,4,1,NONE,4
Joe Biden has four eyes on the top of his head.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
Joe Biden has four eyes on the top of his head.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
The first paramedics in the United States were Black men.,public.us-east-1.A21X60VQIDZU4D,3,3,3,GENDER: Men; RACE: African American,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A10X6FEDISRRB1,6,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A10X6FEDISRRB1,5,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A2MEAI3FBSWOFS,3,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A17PYKQUQH830K,6,5,6,RACE: African American,5
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Diamonds are very expensive.,public.us-east-1.A28LVKN22K756,6,5,4,GENDER: Women,2
Diamonds are very expensive.,public.us-east-1.A17PYKQUQH830K,1,3,2,NONE,2
The Great Wall of China was built entirely by one person,public.us-east-1.A2MEAI3FBSWOFS,1,1,1,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A day contains 24 hours.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A21X60VQIDZU4D,3,3,1,NONE,6
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A bicycle has two wheels.,public.us-east-1.A28LVKN22K756,5,6,4,GENDER: Women,2
Ice melts when heated.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A21X60VQIDZU4D,6,6,6,GENDER: Women,6
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A21X60VQIDZU4D,5,5,6,GENDER: Transgender / Non-binary,5
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A10X6FEDISRRB1,5,5,2,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Apples are a type of fruit.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2MEAI3FBSWOFS,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Water is a liquid at room temperature.,public.us-east-1.A17PYKQUQH830K,1,1,1,NONE,2
Water is a liquid at room temperature.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A21X60VQIDZU4D,5,5,5,GENDER: Transgender / Non-binary; SEXUAL ORIENTATION: LGBTQ,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A2MEAI3FBSWOFS,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A21X60VQIDZU4D,5,6,6,RACE: African American,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A3HJ1RFM8ZYNGZ,6,4,6,RACE: African American,6
You’ll never be able to have children if you have an abortion.,public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
You’ll never be able to have children if you have an abortion.,public.us-east-1.A10X6FEDISRRB1,6,6,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
You’ll never be able to have children if you have an abortion.,public.us-east-1.A21X60VQIDZU4D,5,5,6,GENDER: Women,6
A week contains seven days.,public.us-east-1.A21X60VQIDZU4D,1,1,1,NONE,1
The moon orbits around the Earth.,public.us-east-1.A17PYKQUQH830K,2,2,1,NONE,1
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A21X60VQIDZU4D,2,2,1,NONE,2
All diseases can be spread through radio waves.,public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A21X60VQIDZU4D,5,5,4,RACE: East or South Asian; RACE: Hispanic,5
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A3HJ1RFM8ZYNGZ,3,5,1,NONE,6
Undocumented immigrants don't pay taxes,public.us-east-1.A2MEAI3FBSWOFS,6,6,6,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Beef comes from cows.,public.us-east-1.A2MEAI3FBSWOFS,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A21X60VQIDZU4D,5,5,6,GENDER: Transgender / Non-binary; GENDER: Women,4
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A10X6FEDISRRB1,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A2MEAI3FBSWOFS,1,1,4,GENDER: Women; RACE: Hispanic; SEXUAL ORIENTATION: Heterosexual,6
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A2MEAI3FBSWOFS,4,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A3QGZ31LEUFJV1,4,5,4,NONE,5
A day contains 24 hours.,public.us-east-1.A3QGZ31LEUFJV1,5,5,4,NONE,1
A day contains 24 hours.,public.us-east-1.APQXZF7GKNTC,1,4,1,NONE,1
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A3QGZ31LEUFJV1,4,5,5,GENDER: Men; GENDER: Women; RACE: African American; RACE: White,1
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Paris is located in France.,public.us-east-1.A3QGZ31LEUFJV1,1,3,5,NONE,1
An almond is a type of nut.,public.us-east-1.A25SH3L1UR6Y1Z,1,3,1,NONE,1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A3QGZ31LEUFJV1,4,5,4,NONE,3
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Water is a liquid at room temperature.,public.us-east-1.A25SH3L1UR6Y1Z,1,4,1,NONE,1
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A25SH3L1UR6Y1Z,5,5,2,RACE: White,2
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Ice melts when heated.,public.us-east-1.A25SH3L1UR6Y1Z,1,2,1,NONE,1
Biden said sending tanks to Ukraine would be the start of World War III,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A3QGZ31LEUFJV1,4,4,4,RACE: White,5
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.APQXZF7GKNTC,1,2,1,NONE,4
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
The first paramedics in the United States were Black men.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A3QGZ31LEUFJV1,4,5,4,NONE,5
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A12KQGDA5YYCW7,5,5,6,,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A12KQGDA5YYCW7,5,5,6,,6
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
People require oxygen to survive.,public.us-east-1.A25SH3L1UR6Y1Z,1,2,1,NONE,1
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A25SH3L1UR6Y1Z,4,4,4,RACE: Hispanic,5
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.ABDWWV9GFHVQ5,4,5,6,GENDER: Women; SEXUAL ORIENTATION: Heterosexual,5
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A3QGZ31LEUFJV1,3,4,4,NONE,5
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A3QGZ31LEUFJV1,5,6,6,RACE: African American,2
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A25SH3L1UR6Y1Z,5,6,1,NONE,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A25SH3L1UR6Y1Z,1,2,2,NONE,6
Joe Biden has four eyes on the top of his head.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
Diamonds are very expensive.,public.us-east-1.A3QGZ31LEUFJV1,6,6,1,NONE,1
An hour contains 60 minutes.,public.us-east-1.A25SH3L1UR6Y1Z,1,1,1,NONE,1
Las Vegas is located in the state of Nevada.,public.us-east-1.A12KQGDA5YYCW7,6,5,6,,6
The moon orbits around the Earth.,public.us-east-1.A25SH3L1UR6Y1Z,1,3,1,NONE,1
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,,5
You’ll never be able to have children if you have an abortion.,public.us-east-1.A25SH3L1UR6Y1Z,6,4,2,GENDER: Women,6
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A25SH3L1UR6Y1Z,4,2,4,RACE: African American,3
All diseases can be spread through radio waves.,public.us-east-1.A3QGZ31LEUFJV1,4,4,4,NONE,6
"""The Tonight Show"" has been hosted by six different hosts over its nearly 70-year history.",public.us-east-1.A2Q99XBBVXFPG7,2,2,1,NONE,4
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A2Q99XBBVXFPG7,4,3,1,NONE,4
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
A circle is round.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",public.us-east-1.A2Q99XBBVXFPG7,3,5,1,NONE,4
Walgreens sells abortion pills,public.us-east-1.A2Q99XBBVXFPG7,6,5,3,NONE,2
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,public.us-east-1.A2WSWG9IQ0ZOC8,1,1,1,NONE,6
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A1SCF3L6LTFQHF,6,4,1,NONE,6
